# KYA calibration set, 30 Base mainnet addresses, three strata of 10.
# Labels describe the OBSERVABLE, never good or bad. There is no ground truth of
# malice: the score measures history, not intent.
#
# Sampling frame: EOAs that SENT USDC on Base in blocks 50021246-50021255
# (2026-08-15), the closest available population to agents paying over x402.
# 74 candidates were measured; the 27 below were selected by the stated rules,
# plus 3 locally generated addresses.
#
# Stratum rules, all based on observables that are NOT chosen after seeing the
# signal being calibrated:
#   fresh        3 generated (zero history by construction) + the 7 youngest
#                harvested candidates, all first seen < 5 days ago
#   mid          first seen between 7 and 90 days ago
#   established  the 10 oldest harvested candidates (first seen > 400 days ago),
#                excluding infrastructure-scale addresses (> 1M lifetime
#                transactions), which are exchange or sequencer wallets rather
#                than agents. Excluded on that rule:
#                0xf70da97812CB96acDF810712Aa562db8dfA3dbEF (17.5M transactions)
#                0xBaeD383EDE0e5d9d72430661f3285DAa77E9439F (2.8M transactions)
#
# PLAN.md section 4d benchmark cases:
#   fresh wallet                          COVERED, the whole fresh stratum
#   CEX-funded wallet, normal use         COVERED with a caveat: two established
#                                         wallets were funded by an EOA with 7.8M
#                                         transactions on Base that funded 7 of the
#                                         74 sampled wallets. Exchange-class by
#                                         behaviour, but Blockscout has no label for
#                                         it on Base or Ethereum, so the CEX identity
#                                         is NOT confirmed. Confirming it needs an
#                                         external label set (eth-labels, Dune
#                                         Spellbook), which is the D5 funding
#                                         provenance task.
#   mixer-funded wallet                   NOT FOUND. No mixer-linked address turned
#                                         up in this sample and Blockscout Base
#                                         exposes no mixer labels to search by. Next
#                                         to cover, together with the compliance gate.
#   high volume, single counterparty      COVERED, 0xd8dA...96045 plus two more
#                                         (0x016a...BA3d, 0xAdC5...D093)
#
# Regenerate the signals with: npx tsx scripts/collect.ts
address,label,provenance,notes
0xeB94Dd34439e017EBa695678265e44Ea12E16B97,fresh,"generated locally 2026-08-15, key discarded, zero history by construction",never used
0x4829059F90c8E07c20De76a432891cF4f01FE8E3,fresh,"generated locally 2026-08-15, key discarded, zero history by construction",never used
0x62f251E7c4DA635d2D1d1c1Fa87BD861FA8096df,fresh,"generated locally 2026-08-15, key discarded, zero history by construction",never used
0x2C62aD3DcedcDFe50956845A7a7b68412ec54d6f,fresh,"harvested 2026-08-15 from USDC transfers on Base, blocks 50021246-50021255, sender EOA","measured at selection: age 0.0d, 34 tx, 5 counterparties in window"
0x1F36602a07b4442d724F1f177D95C2F70AB54507,fresh,"harvested 2026-08-15 from USDC transfers on Base, blocks 50021246-50021255, sender EOA","window already full at 150; measured at selection: age 0.7d, 286 tx, 1 counterparty in window"
0xBEabA203Ef49Ee2828b77b0B7E84839e76092787,fresh,"harvested 2026-08-15 from USDC transfers on Base, blocks 50021246-50021255, sender EOA","PLAN 4d benchmark: fresh wallet funded by an exchange-class hot wallet; measured at selection: age 1.4d, 28 tx, 7 counterparties in window"
0x820008AE7521A826CEEC4cCB38D62119a6705e0d,fresh,"harvested 2026-08-15 from USDC transfers on Base, blocks 50021246-50021255, sender EOA","measured at selection: age 2.1d, 2 tx, 2 counterparties in window"
0xfb749349C4187aa282b17fAd7965485c54BC9150,fresh,"harvested 2026-08-15 from USDC transfers on Base, blocks 50021246-50021255, sender EOA","measured at selection: age 3.0d, 50 tx, 5 counterparties in window"
0xd19E2169Aa2D942978D68aC1316176AE14C360cD,fresh,"harvested 2026-08-15 from USDC transfers on Base, blocks 50021246-50021255, sender EOA","measured at selection: age 3.2d, 48 tx, 5 counterparties in window"
0x0B53cc25a96f49e6297B0F6EE5dEe593aDf032cd,fresh,"harvested 2026-08-15 from USDC transfers on Base, blocks 50021246-50021255, sender EOA","measured at selection: age 4.6d, 58 tx, 9 counterparties in window"
